Shape,Result,Number,Time
<http://SGKG4.org/shapes/Constraint2>,valid,41154,666.8463985919952
<http://SGKG4.org/shapes/Constraint1>,valid,19516,346.1613757610321
<http://SGKG4.org/shapes/Constraint2>,valid,67528,666.9571785926819
<http://SGKG4.org/shapes/Constraint1>,valid,16134,346.13832092285156
<http://SGKG4.org/shapes/Constraint3>,violated,71772,951.4434499740601
<http://SGKG4.org/shapes/Constraint4>,valid,111710,1230.662874698639
<http://SGKG4.org/shapes/Constraint2>,valid,41754,666.849363565445
<http://SGKG4.org/shapes/Constraint1>,valid,28827,346.2203755378723
<http://SGKG4.org/shapes/Constraint4>,valid,135199,1230.7658743858337
<http://SGKG4.org/shapes/Constraint3>,valid,100110,951.5504848957062
<http://SGKG4.org/shapes/Constraint4>,valid,135090,1230.7648742198944
<http://SGKG4.org/shapes/Constraint3>,valid,94788,951.5284519195557
<http://SGKG4.org/shapes/Constraint3>,valid,94438,951.5274522304535
<http://SGKG4.org/shapes/Constraint5>,valid,139072,1550.4821701049805
<http://SGKG4.org/shapes/Constraint1>,valid,5505,346.07065773010254
<http://SGKG4.org/shapes/Constraint3>,valid,81823,951.4844493865967
<http://SGKG4.org/shapes/Constraint1>,valid,4892,346.0644929409027
<http://SGKG4.org/shapes/Constraint1>,valid,25033,346.1994061470032
<http://SGKG4.org/shapes/Constraint1>,valid,33407,346.24041175842285
<http://SGKG4.org/shapes/Constraint5>,valid,144514,1550.5081703662872
<http://SGKG4.org/shapes/Constraint5>,valid,167649,1550.6132035255432
<http://SGKG4.org/shapes/Constraint1>,valid,3571,346.05644392967224
<http://SGKG4.org/shapes/Constraint4>,valid,101793,1230.6188781261444
<http://SGKG4.org/shapes/Constraint4>,valid,112810,1230.6678738594055
<http://SGKG4.org/shapes/Constraint5>,valid,150025,1550.531212568283
<http://SGKG4.org/shapes/Constraint2>,valid,57139,666.9155881404877
<http://SGKG4.org/shapes/Constraint5>,valid,151587,1550.5372023582458
<http://SGKG4.org/shapes/Constraint5>,valid,161922,1550.5892043113708
<http://SGKG4.org/shapes/Constraint1>,valid,23664,346.1904170513153
<http://SGKG4.org/shapes/Constraint3>,valid,77270,951.4654502868652
<http://SGKG4.org/shapes/Constraint2>,valid,54695,666.9055914878845
<http://SGKG4.org/shapes/Constraint1>,valid,28059,346.2173798084259
<http://SGKG4.org/shapes/Constraint2>,valid,48993,666.8795883655548
<http://SGKG4.org/shapes/Constraint5>,valid,140110,1550.4881999492645
<http://SGKG4.org/shapes/Constraint2>,valid,55018,666.9065880775452
<http://SGKG4.org/shapes/Constraint4>,valid,131437,1230.7499101161957
<http://SGKG4.org/shapes/Constraint2>,valid,37737,666.8313982486725
<http://SGKG4.org/shapes/Constraint3>,valid,98229,951.5434851646423
<http://SGKG4.org/shapes/Constraint1>,valid,18373,346.15336084365845
<http://SGKG4.org/shapes/Constraint4>,valid,122162,1230.7099108695984
<http://SGKG4.org/shapes/Constraint4>,valid,105057,1230.6328778266907
<http://SGKG4.org/shapes/Constraint4>,valid,115496,1230.6788747310638
<http://SGKG4.org/shapes/Constraint1>,valid,13335,346.11832189559937
<http://SGKG4.org/shapes/Constraint2>,valid,56957,666.9145855903625
